# case	step	relation (explicit) or digest (corpus)
polygon_10	construct	generated P0.v3 296f5239cc62bed0ba8b2c5760c6fca3 bottom_vertex
polygon_10	construct	generated P0.v3 effc6946105785ab5e2ccaa7270be668 top_vertex
polygon_10	construct	generated P0.v3 f4654cdf0aaf5f955e58f989828674de vertical
polygon_10	construct	generated P0.v4 2976c5eed862bed0ba8b2c59ab9eee14 bottom_vertex
polygon_10	construct	generated P0.v4 f0309339645785ab5e2ccab732f3807f top_vertex
polygon_10	construct	generated P0.v4 f4400a55ceaf5f955e58f97e0c4ebda9 vertical
polygon_10	construct	generated P0.v5 297e39a3e462bed0ba8b2c5bf676df85 bottom_vertex
polygon_10	construct	generated P0.v5 f0291f84585785ab5e2ccab4e81b8f0e top_vertex
polygon_10	construct	generated P0.v5 f43896a0c2af5f955e58f97bc176cc38 vertical
polygon_10	construct	generated P0.v6 2985ad58f062bed0ba8b2c5e414ed0f6 bottom_vertex
polygon_10	construct	generated P0.v6 f021abcf4c5785ab5e2ccab29d439d9d top_vertex
polygon_10	construct	generated P0.v6 f44ef1bfe6af5f955e58f982a1fea08b vertical
polygon_10	construct	generated P0.v7 298d210dfc62bed0ba8b2c608c26c267 bottom_vertex
polygon_10	construct	generated P0.v7 f01a381a405785ab5e2ccab0526bac2c top_vertex
polygon_10	construct	generated P0.v7 f4477e0adaaf5f955e58f9805726af1a vertical
polygon_10	construct	generated P0.v8 299494c30862bed0ba8b2c62d6feb3d8 bottom_vertex
polygon_10	construct	generated P0.v8 efd726bcd45785ab5e2cca9bb0d42f33 top_vertex
polygon_10	construct	generated P0.v8 f4223b819eaf5f955e58f974e0eef7e5 vertical
polygon_10	construct	generated P0.v9 299c08781462bed0ba8b2c6521d6a549 bottom_vertex
polygon_10	construct	generated P0.v9 efcfb307c85785ab5e2cca9965fc3dc2 top_vertex
polygon_10	construct	generated P0.v9 f41ac7cc92af5f955e58f97296170674 vertical
polygon_11	construct	generated P0.b0 6e8f3c5ba50efaabc964e574bc8693b6 end_cap
polygon_11	construct	generated P0.b0 749654a4de057d82e5c5cda30eaff6ff start_cap
polygon_11	construct	generated P0.b0 8dbc8323f395f7f6ac35f61bf5685be9 region
polygon_11	construct	generated P0.s0 29d2d1eefc03c1866d0681002c251016 wall
polygon_11	construct	generated P0.s0 92ade705b2ada398e599a74025b7706e bottom_edge
polygon_11	construct	generated P0.s0 e2e0892990b8dcbe41f80e86cdcf0a19 top_edge
polygon_11	construct	generated P0.s1 29da45a40803c1866d06810276fd0187 wall
polygon_11	construct	generated P0.s1 92b55ababeada398e599a742708f61df bottom_edge
polygon_11	construct	generated P0.s1 e2d9157484b8dcbe41f80e8482f718a8 top_edge
polygon_11	construct	generated P0.s2 29c3ea84e403c1866d0680fb96752d34 wall
polygon_11	construct	generated P0.s2 929eff9b9aada398e599a73b90078d8c bottom_edge
polygon_11	construct	generated P0.s2 e2ef7093a8b8dcbe41f80e8b637eecfb top_edge
polygon_11	construct	generated P0.s3 29cb5e39f003c1866d0680fde14d1ea5 wall
polygon_11	construct	generated P0.s3 92a67350a6ada398e599a73ddadf7efd bottom_edge
polygon_11	construct	generated P0.s3 e2e7fcde9cb8dcbe41f80e8918a6fb8a top_edge
polygon_11	construct	generated P0.s4 29b5031acc03c1866d0680f700c54a52 wall
polygon_11	construct	generated P0.s4 9290183182ada398e599a736fa57aaaa bottom_edge
polygon_11	construct	generated P0.s4 e2fe57fdc0b8dcbe41f80e8ff92ecfdd top_edge
polygon_11	construct	generated P0.s5 29bc76cfd803c1866d0680f94b9d3bc3 wall
polygon_11	construct	generated P0.s5 92978be68eada398e599a739452f9c1b bottom_edge
polygon_11	construct	generated P0.s5 e2f6e448b4b8dcbe41f80e8dae56de6c top_edge
polygon_11	construct	generated P0.s6 29a61bb0b403c1866d0680f26b156770 wall
polygon_11	construct	generated P0.s6 928130c76aada398e599a73264a7c7c8 bottom_edge
polygon_11	construct	generated P0.s6 e30d3f67d8b8dcbe41f80e948edeb2bf top_edge
polygon_11	construct	generated P0.s7 29ad8f65c003c1866d0680f4b5ed58e1 wall
polygon_11	construct	generated P0.s7 9288a47c76ada398e599a734af7fb939 bottom_edge
polygon_11	construct	generated P0.s7 e305cbb2ccb8dcbe41f80e924406c14e top_edge
polygon_11	construct	generated P0.s8 2a0e6f975c03c1866d06811282e49b9e wall
polygon_11	construct	generated P0.s8 9272495d52ada398e599a72dcef7e4e6 bottom_edge
polygon_11	construct	generated P0.s8 e2a4eb8130b8dcbe41f80e74770f7e91 top_edge
polygon_11	construct	generated P0.s9 2a15e34c6803c1866d068114cdbc8d0f wall
polygon_11	construct	generated P0.s9 9279bd125eada398e599a73019cfd657 bottom_edge
polygon_11	construct	generated P0.s9 e29d77cc24b8dcbe41f80e722c378d20 top_edge
polygon_11	construct	generated P0.s10 29ff882d4403c1866d06810ded34b8bc wall
polygon_11	construct	generated P0.s10 926361f33aada398e599a72939480204 bottom_edge
polygon_11	construct	generated P0.s10 e2b3d2eb48b8dcbe41f80e790cbf6173 top_edge
polygon_11	construct	generated P0.v0 2958f71aa862bed0ba8b2c50803f2850 bottom_vertex
polygon_11	construct	generated P0.v0 f012c465345785ab5e2ccaae0793babb top_vertex
polygon_11	construct	generated P0.v0 f45dd929feaf5f955e58f98737ae836d vertical
polygon_11	construct	generated P0.v1 29606acfb462bed0ba8b2c52cb1719c1 bottom_vertex
polygon_11	construct	generated P0.v1 f00b50b0285785ab5e2ccaabbcbbc94a top_vertex
polygon_11	construct	generated P0.v1 f4566574f2af5f955e58f984ecd691fc vertical
polygon_11	construct	generated P0.v2 2967de84c062bed0ba8b2c5515ef0b32 bottom_vertex
polygon_11	construct	generated P0.v2 f003dcfb1c5785ab5e2ccaa971e3d7d9 top_vertex
polygon_11	construct	generated P0.v2 f46cc09416af5f955e58f98bcd5e664f vertical
polygon_11	construct	generated P0.v3 296f5239cc62bed0ba8b2c5760c6fca3 bottom_vertex
polygon_11	construct	generated P0.v3 effc6946105785ab5e2ccaa7270be668 top_vertex
polygon_11	construct	generated P0.v3 f4654cdf0aaf5f955e58f989828674de vertical
polygon_11	construct	generated P0.v4 2976c5eed862bed0ba8b2c59ab9eee14 bottom_vertex
polygon_11	construct	generated P0.v4 f0309339645785ab5e2ccab732f3807f top_vertex
polygon_11	construct	generated P0.v4 f4400a55ceaf5f955e58f97e0c4ebda9 vertical
polygon_11	construct	generated P0.v5 297e39a3e462bed0ba8b2c5bf676df85 bottom_vertex
polygon_11	construct	generated P0.v5 f0291f84585785ab5e2ccab4e81b8f0e top_vertex
polygon_11	construct	generated P0.v5 f43896a0c2af5f955e58f97bc176cc38 vertical
polygon_11	construct	generated P0.v6 2985ad58f062bed0ba8b2c5e414ed0f6 bottom_vertex
polygon_11	construct	generated P0.v6 f021abcf4c5785ab5e2ccab29d439d9d top_vertex
polygon_11	construct	generated P0.v6 f44ef1bfe6af5f955e58f982a1fea08b vertical
polygon_11	construct	generated P0.v7 298d210dfc62bed0ba8b2c608c26c267 bottom_vertex
polygon_11	construct	generated P0.v7 f01a381a405785ab5e2ccab0526bac2c top_vertex
polygon_11	construct	generated P0.v7 f4477e0adaaf5f955e58f9805726af1a vertical
polygon_11	construct	generated P0.v8 299494c30862bed0ba8b2c62d6feb3d8 bottom_vertex
polygon_11	construct	generated P0.v8 efd726bcd45785ab5e2cca9bb0d42f33 top_vertex
polygon_11	construct	generated P0.v8 f4223b819eaf5f955e58f974e0eef7e5 vertical
polygon_11	construct	generated P0.v9 299c08781462bed0ba8b2c6521d6a549 bottom_vertex
polygon_11	construct	generated P0.v9 efcfb307c85785ab5e2cca9965fc3dc2 top_vertex
polygon_11	construct	generated P0.v9 f41ac7cc92af5f955e58f97296170674 vertical
polygon_11	construct	generated P0.v10 29a37c2d2062bed0ba8b2c676cae96ba bottom_vertex
polygon_11	construct	generated P0.v10 efc83f52bc5785ab5e2cca971b244c51 top_vertex
polygon_11	construct	generated P0.v10 f43122ebb6af5f955e58f979769edac7 vertical
polygon_12	construct	generated P0.b0 6e8f3c5ba50efaabc964e574bc8693b6 end_cap
polygon_12	construct	generated P0.b0 749654a4de057d82e5c5cda30eaff6ff start_cap
polygon_12	construct	generated P0.b0 8dbc8323f395f7f6ac35f61bf5685be9 region
polygon_12	construct	generated P0.s0 29d2d1eefc03c1866d0681002c251016 wall
polygon_12	construct	generated P0.s0 92ade705b2ada398e599a74025b7706e bottom_edge
polygon_12	construct	generated P0.s0 e2e0892990b8dcbe41f80e86cdcf0a19 top_edge
polygon_12	construct	generated P0.s1 29da45a40803c1866d06810276fd0187 wall
polygon_12	construct	generated P0.s1 92b55ababeada398e599a742708f61df bottom_edge
polygon_12	construct	generated P0.s1 e2d9157484b8dcbe41f80e8482f718a8 top_edge
polygon_12	construct	generated P0.s2 29c3ea84e403c1866d0680fb96752d34 wall
polygon_12	construct	generated P0.s2 929eff9b9aada398e599a73b90078d8c bottom_edge
polygon_12	construct	generated P0.s2 e2ef7093a8b8dcbe41f80e8b637eecfb top_edge
polygon_12	construct	generated P0.s3 29cb5e39f003c1866d0680fde14d1ea5 wall
polygon_12	construct	generated P0.s3 92a67350a6ada398e599a73ddadf7efd bottom_edge
polygon_12	construct	generated P0.s3 e2e7fcde9cb8dcbe41f80e8918a6fb8a top_edge
polygon_12	construct	generated P0.s4 29b5031acc03c1866d0680f700c54a52 wall
polygon_12	construct	generated P0.s4 9290183182ada398e599a736fa57aaaa bottom_edge
polygon_12	construct	generated P0.s4 e2fe57fdc0b8dcbe41f80e8ff92ecfdd top_edge
polygon_12	construct	generated P0.s5 29bc76cfd803c1866d0680f94b9d3bc3 wall
polygon_12	construct	generated P0.s5 92978be68eada398e599a739452f9c1b bottom_edge
polygon_12	construct	generated P0.s5 e2f6e448b4b8dcbe41f80e8dae56de6c top_edge
polygon_12	construct	generated P0.s6 29a61bb0b403c1866d0680f26b156770 wall
polygon_12	construct	generated P0.s6 928130c76aada398e599a73264a7c7c8 bottom_edge
polygon_12	construct	generated P0.s6 e30d3f67d8b8dcbe41f80e948edeb2bf top_edge
polygon_12	construct	generated P0.s7 29ad8f65c003c1866d0680f4b5ed58e1 wall
polygon_12	construct	generated P0.s7 9288a47c76ada398e599a734af7fb939 bottom_edge
polygon_12	construct	generated P0.s7 e305cbb2ccb8dcbe41f80e924406c14e top_edge
polygon_12	construct	generated P0.s8 2a0e6f975c03c1866d06811282e49b9e wall
polygon_12	construct	generated P0.s8 9272495d52ada398e599a72dcef7e4e6 bottom_edge
polygon_12	construct	generated P0.s8 e2a4eb8130b8dcbe41f80e74770f7e91 top_edge
polygon_12	construct	generated P0.s9 2a15e34c6803c1866d068114cdbc8d0f wall
polygon_12	construct	generated P0.s9 9279bd125eada398e599a73019cfd657 bottom_edge
polygon_12	construct	generated P0.s9 e29d77cc24b8dcbe41f80e722c378d20 top_edge
polygon_12	construct	generated P0.s10 29ff882d4403c1866d06810ded34b8bc wall
polygon_12	construct	generated P0.s10 926361f33aada398e599a72939480204 bottom_edge
polygon_12	construct	generated P0.s10 e2b3d2eb48b8dcbe41f80e790cbf6173 top_edge
polygon_12	construct	generated P0.s11 2a06fbe25003c1866d068110380caa2d wall
polygon_12	construct	generated P0.s11 926ad5a846ada398e599a72b841ff375 bottom_edge
polygon_12	construct	generated P0.s11 e2ac5f363cb8dcbe41f80e76c1e77002 top_edge
polygon_12	construct	generated P0.v0 2958f71aa862bed0ba8b2c50803f2850 bottom_vertex
polygon_12	construct	generated P0.v0 f012c465345785ab5e2ccaae0793babb top_vertex
polygon_12	construct	generated P0.v0 f45dd929feaf5f955e58f98737ae836d vertical
polygon_12	construct	generated P0.v1 29606acfb462bed0ba8b2c52cb1719c1 bottom_vertex
polygon_12	construct	generated P0.v1 f00b50b0285785ab5e2ccaabbcbbc94a top_vertex
polygon_12	construct	generated P0.v1 f4566574f2af5f955e58f984ecd691fc vertical
polygon_12	construct	generated P0.v2 2967de84c062bed0ba8b2c5515ef0b32 bottom_vertex
polygon_12	construct	generated P0.v2 f003dcfb1c5785ab5e2ccaa971e3d7d9 top_vertex
polygon_12	construct	generated P0.v2 f46cc09416af5f955e58f98bcd5e664f vertical
polygon_12	construct	generated P0.v3 296f5239cc62bed0ba8b2c5760c6fca3 bottom_vertex
polygon_12	construct	generated P0.v3 effc6946105785ab5e2ccaa7270be668 top_vertex
polygon_12	construct	generated P0.v3 f4654cdf0aaf5f955e58f989828674de vertical
polygon_12	construct	generated P0.v4 2976c5eed862bed0ba8b2c59ab9eee14 bottom_vertex
polygon_12	construct	generated P0.v4 f0309339645785ab5e2ccab732f3807f top_vertex
polygon_12	construct	generated P0.v4 f4400a55ceaf5f955e58f97e0c4ebda9 vertical
polygon_12	construct	generated P0.v5 297e39a3e462bed0ba8b2c5bf676df85 bottom_vertex
polygon_12	construct	generated P0.v5 f0291f84585785ab5e2ccab4e81b8f0e top_vertex
polygon_12	construct	generated P0.v5 f43896a0c2af5f955e58f97bc176cc38 vertical
polygon_12	construct	generated P0.v6 2985ad58f062bed0ba8b2c5e414ed0f6 bottom_vertex
polygon_12	construct	generated P0.v6 f021abcf4c5785ab5e2ccab29d439d9d top_vertex
polygon_12	construct	generated P0.v6 f44ef1bfe6af5f955e58f982a1fea08b vertical
polygon_12	construct	generated P0.v7 298d210dfc62bed0ba8b2c608c26c267 bottom_vertex
polygon_12	construct	generated P0.v7 f01a381a405785ab5e2ccab0526bac2c top_vertex
polygon_12	construct	generated P0.v7 f4477e0adaaf5f955e58f9805726af1a vertical
polygon_12	construct	generated P0.v8 299494c30862bed0ba8b2c62d6feb3d8 bottom_vertex
polygon_12	construct	generated P0.v8 efd726bcd45785ab5e2cca9bb0d42f33 top_vertex
polygon_12	construct	generated P0.v8 f4223b819eaf5f955e58f974e0eef7e5 vertical
polygon_12	construct	generated P0.v9 299c08781462bed0ba8b2c6521d6a549 bottom_vertex
polygon_12	construct	generated P0.v9 efcfb307c85785ab5e2cca9965fc3dc2 top_vertex
polygon_12	construct	generated P0.v9 f41ac7cc92af5f955e58f97296170674 vertical
polygon_12	construct	generated P0.v10 29a37c2d2062bed0ba8b2c676cae96ba bottom_vertex
polygon_12	construct	generated P0.v10 efc83f52bc5785ab5e2cca971b244c51 top_vertex
polygon_12	construct	generated P0.v10 f43122ebb6af5f955e58f979769edac7 vertical
polygon_12	construct	generated P0.v11 29aaefe22c62bed0ba8b2c69b786882b bottom_vertex
polygon_12	construct	generated P0.v11 efc0cb9db05785ab5e2cca94d04c5ae0 top_vertex
polygon_12	construct	generated P0.v11 f429af36aaaf5f955e58f9772bc6e956 vertical
circle	construct	generated P0.b0 6e8f3c5ba50efaabc964e574bc8693b6 end_cap
circle	construct	generated P0.b0 749654a4de057d82e5c5cda30eaff6ff start_cap
circle	construct	generated P0.b0 8dbc8323f395f7f6ac35f61bf5685be9 region
circle	construct	generated P0.s0 29d2d1eefc03c1866d0681002c251016 wall
circle	construct	generated P0.s0 92ade705b2ada398e599a74025b7706e bottom_edge
circle	construct	generated P0.s0 e2e0892990b8dcbe41f80e86cdcf0a19 top_edge
circle_labelled	construct	generated L9 061c700c9488390334e37e2c5d06adef region
circle_labelled	construct	generated L9 65110518276a67930146ed3742ae5855 start_cap
circle_labelled	construct	generated L9 d506c058d6e1f3f8cdb02f999c65350e end_cap
circle_labelled	construct	generated L10 19a2d6dace78d7155eba01a18deb9ea5 top_edge
circle_labelled	construct	generated L10 d98e699d27c53fff55ac6d7ae7a2a8fc bottom_edge
circle_labelled	construct	generated L10 e253571b982e5c355b36d7d9c219cf64 wall
holes_0	construct	generated P0.b0 66271620c8370bf4fe1bba2f62fdf24e start_cap
holes_0	construct	generated P0.b0 6c2e2e6a012d8ecc1a7ca25db5275597 end_cap
holes_0	construct	generated P0.b0 f63e9f4681692f2962ca52cc97b95ca8 region
holes_0	construct	generated P0.s0 56c1e34a41fc0963d3554a5db129e34c top_edge
holes_0	construct	generated P0.s0 78e76e99afc79c3b257f3579bcf2592f bottom_edge
holes_0	construct	generated P0.s0 82dd820239f921a36ca68aa7a939b56f wall
holes_0	construct	generated P0.s1 56c956ff4dfc0963d3554a5ffc01d4bd top_edge
holes_0	construct	generated P0.s1 78dffae4a3c79c3b257f3577721a67be bottom_edge
holes_0	construct	generated P0.s1 82d60e4d2df921a36ca68aa55e61c3fe wall
holes_0	construct	generated P0.s2 56d0cab459fc0963d3554a6246d9c62e top_edge
holes_0	construct	generated P0.s2 78d8872f97c79c3b257f35752742764d bottom_edge
holes_0	construct	generated P0.s2 82ce9a9821f921a36ca68aa31389d28d wall
holes_0	construct	generated P0.s3 56d83e6965fc0963d3554a6491b1b79f top_edge
holes_0	construct	generated P0.s3 78d1137a8bc79c3b257f3572dc6a84dc bottom_edge
holes_0	construct	generated P0.s3 82c726e315f921a36ca68aa0c8b1e11c wall
holes_0	construct	generated P0.v0 044348dceebd81462458dd0ade5dc469 bottom_vertex
holes_0	construct	generated P0.v0 0f7c64bdf289141d7682c282baba0e36 top_vertex
holes_0	construct	generated P0.v0 45449349d405868cb6f45f5d474a69f8 vertical
holes_0	construct	generated P0.v1 043bd527e2bd81462458dd089385d2f8 bottom_vertex
holes_0	construct	generated P0.v1 0f83d872fe89141d7682c2850591ffa7 top_vertex
holes_0	construct	generated P0.v1 454c06fee005868cb6f45f5f92225b69 vertical
holes_0	construct	generated P0.v2 0452304706bd81462458dd0f740da74b bottom_vertex
holes_0	construct	generated P0.v2 0f6d7d53da89141d7682c27e250a2b54 top_vertex
holes_0	construct	generated P0.v2 45537ab3ec05868cb6f45f61dcfa4cda vertical
holes_0	construct	generated P0.v3 044abc91fabd81462458dd0d2935b5da bottom_vertex
holes_0	construct	generated P0.v3 0f74f108e689141d7682c2806fe21cc5 top_vertex
holes_0	construct	generated P0.v3 455aee68f805868cb6f45f6427d23e4b vertical
holes_1	construct	generated P0.s0 56c1e34a41fc0963d3554a5db129e34c top_edge
holes_1	construct	generated P0.s0 78e76e99afc79c3b257f3579bcf2592f bottom_edge
holes_1	construct	generated P0.s0 82dd820239f921a36ca68aa7a939b56f wall
holes_1	construct	generated P0.s1 56c956ff4dfc0963d3554a5ffc01d4bd top_edge
holes_1	construct	generated P0.s1 78dffae4a3c79c3b257f3577721a67be bottom_edge
holes_1	construct	generated P0.s1 82d60e4d2df921a36ca68aa55e61c3fe wall
holes_1	construct	generated P0.s2 56d0cab459fc0963d3554a6246d9c62e top_edge
holes_1	construct	generated P0.s2 78d8872f97c79c3b257f35752742764d bottom_edge
holes_1	construct	generated P0.s2 82ce9a9821f921a36ca68aa31389d28d wall
holes_1	construct	generated P0.s3 56d83e6965fc0963d3554a6491b1b79f top_edge
holes_1	construct	generated P0.s3 78d1137a8bc79c3b257f3572dc6a84dc bottom_edge
holes_1	construct	generated P0.s3 82c726e315f921a36ca68aa0c8b1e11c wall
holes_1	construct	generated P0.v0 044348dceebd81462458dd0ade5dc469 bottom_vertex
holes_1	construct	generated P0.v0 0f7c64bdf289141d7682c282baba0e36 top_vertex
holes_1	construct	generated P0.v0 45449349d405868cb6f45f5d474a69f8 vertical
holes_1	construct	generated P0.v1 043bd527e2bd81462458dd089385d2f8 bottom_vertex
holes_1	construct	generated P0.v1 0f83d872fe89141d7682c2850591ffa7 top_vertex
holes_1	construct	generated P0.v1 454c06fee005868cb6f45f5f92225b69 vertical
holes_1	construct	generated P0.v2 0452304706bd81462458dd0f740da74b bottom_vertex
holes_1	construct	generated P0.v2 0f6d7d53da89141d7682c27e250a2b54 top_vertex
holes_1	construct	generated P0.v2 45537ab3ec05868cb6f45f61dcfa4cda vertical
holes_1	construct	generated P0.v3 044abc91fabd81462458dd0d2935b5da bottom_vertex
holes_1	construct	generated P0.v3 0f74f108e689141d7682c2806fe21cc5 top_vertex
holes_1	construct	generated P0.v3 455aee68f805868cb6f45f6427d23e4b vertical
holes_1	construct	generated P1.s0 e6ceaf25c2fc02ec87f390914d38f987 top_edge
holes_1	construct	generated P1.s0 e8daa2be2ec7a2b270e0ef4620e342f4 bottom_edge
holes_1	construct	generated P1.s0 f2d0b626b8f9281ab80844740d2a9f34 wall
holes_1	construct	generated P1.s1 e6c73b70b6fc02ec87f3908f02610816 top_edge
holes_1	construct	generated P1.s1 e8e216733ac7a2b270e0ef486bbb3465 bottom_edge
holes_1	construct	generated P1.s1 f2d829dbc4f9281ab8084476580290a5 wall
holes_1	construct	generated P1.s2 e6bfc7bbaafc02ec87f3908cb78916a5 top_edge
holes_1	construct	generated P1.s2 e8e98a2846c7a2b270e0ef4ab69325d6 bottom_edge
holes_1	construct	generated P1.s2 f2df9d90d0f9281ab8084478a2da8216 wall
holes_1	construct	generated P1.s3 e6b854069efc02ec87f3908a6cb12534 top_edge
holes_1	construct	generated P1.s3 e8f0fddd52c7a2b270e0ef4d016b1747 bottom_edge
holes_1	construct	generated P1.s3 f2e71145dcf9281ab808447aedb27387 wall
holes_1	construct	generated P1.v0 7d63a54a05bd7aced8f71d9a4b00ae8e bottom_vertex
holes_1	construct	generated P1.v0 965c0850db891a94c1e481f34e172411 top_vertex
holes_1	construct	generated P1.v0 cc2436dcbd058d0402561ecddaa77fd3 vertical
holes_1	construct	generated P1.v1 7d6b18ff11bd7aced8f71d9c95d89fff bottom_vertex
holes_1	construct	generated P1.v1 9654949bcf891a94c1e481f1033f32a0 top_vertex
holes_1	construct	generated P1.v1 cc1cc327b1058d0402561ecb8fcf8e62 vertical
holes_1	construct	generated P1.v2 7d54bddfedbd7aced8f71d95b550cbac bottom_vertex
holes_1	construct	generated P1.v2 966aefbaf3891a94c1e481f7e3c706f3 top_vertex
holes_1	construct	generated P1.v2 cc154f72a5058d0402561ec944f79cf1 vertical
holes_1	construct	generated P1.v3 7d5c3194f9bd7aced8f71d980028bd1d bottom_vertex
holes_1	construct	generated P1.v3 96637c05e7891a94c1e481f598ef1582 top_vertex
holes_1	construct	generated P1.v3 cc0ddbbd99058d0402561ec6fa1fab80 vertical
holes_1	construct	generated P0.b0,P1.b0 c75e33907f214a140187118819bfe414 start_cap
holes_1	construct	generated P0.b0,P1.b0 e78f924b0e9a8dd08a6ebd6b3a1f3209 end_cap
holes_1	construct	generated P0.b0,P1.b0 f1ad629a2a315675798c99d00b8c29be region
